iter	Passed	Remaining
0	2	262
1	5	272
2	8	286
3	10	263
4	13	252
5	15	247
6	18	249
7	21	249
8	24	244
9	26	241
10	29	240
11	31	234
12	33	226
13	36	224
14	39	221
15	40	215
16	43	210
17	45	206
18	47	200
19	49	197
20	51	194
21	53	191
22	56	189
23	58	184
24	60	182
25	62	178
26	65	175
27	66	172
28	68	168
29	70	165
30	73	163
31	75	160
32	77	157
33	80	155
34	83	154
35	85	151
36	87	149
37	89	146
38	92	144
39	94	142
40	97	139
41	98	135
42	100	133
43	102	130
44	105	128
45	108	127
46	110	124
47	112	122
48	115	120
49	118	118
50	121	116
51	123	114
52	126	111
53	128	109
54	129	106
55	131	103
56	134	101
57	136	99
58	139	96
59	141	94
60	143	91
61	146	89
62	148	86
63	151	85
64	154	83
65	159	82
66	162	80
67	166	78
68	168	75
69	171	73
70	174	71
71	178	69
72	180	66
73	183	64
74	185	61
75	187	59
76	189	56
77	192	54
78	194	51
79	196	49
80	199	46
81	202	44
82	205	41
83	208	39
84	210	37
85	212	34
86	215	32
87	218	29
88	222	27
89	224	24
90	226	22
91	229	19
92	231	17
93	234	14
94	252	13
95	255	10
96	256	7
97	259	5
98	262	2
99	264	0
